Landscape,NbrEggs
Fragmented,3
Fragmented,8
Continuous,12
Fragmented,16
Fragmented,32
Fragmented,37
Fragmented,52
Fragmented,52
Continuous,54
Fragmented,57
Fragmented,61
Fragmented,62
Fragmented,73
Fragmented,79
Fragmented,87
Continuous,94
Fragmented,95
Continuous,96
Fragmented,98
Continuous,101
Fragmented,102
Fragmented,103
Continuous,109
Fragmented,111
Fragmented,112
Fragmented,113
Continuous,114
Continuous,118
Fragmented,119
Fragmented,119
Fragmented,120
Continuous,121
Fragmented,127
Fragmented,128
Fragmented,130
Fragmented,132
Fragmented,133
Continuous,136
Continuous,136
Fragmented,140
Fragmented,141
Continuous,144
Fragmented,148
Continuous,151
Fragmented,154
Fragmented,158
Fragmented,162
Fragmented,165
Continuous,166
Continuous,166
Continuous,168
Fragmented,169
Continuous,170
Continuous,170
Fragmented,177
Fragmented,178
Continuous,178
Fragmented,193
Fragmented,200
Continuous,203
Continuous,203
Fragmented,212
Fragmented,214
Continuous,274
