Sample.Number,Year.Collected,Population,Habitat,Drainage,Sex,Age,Standard.Length,Body.Height,Caudal.Peduncle.Height,Dorsal.Fin.Base.Length,Anal.Fin.Base.Length,Head.Height,Body.Width,Head.Width,Eye.Diameter
C 104,2010,C,Stream,Embarras,f,0,25,3.3,2.1,2.8,2.47,2.78,4.8,4.8,1.6
C 84,2010,C,Stream,Embarras,f,0,37.4,6.3,3.9,4.47,4.52,4.63,5.3,6.5,2.65
C 86,2010,C,Stream,Embarras,f,0,34.7,5.5,3.3,4.54,4.21,4.21,5.1,5.3,2.3
C 88,2010,C,Stream,Embarras,f,0,32.2,5.3,3.2,3.54,3.61,3.96,4.2,5.1,2.12
C 99,2010,C,Stream,Embarras,f,0,34.54,5.63,3.84,4.59,4.8,4.22,4,3.9,2.39
C 100,2010,C,Stream,Embarras,m,0,33.99,5.6,4.38,4.18,4.2,4.19,3.6,3.7,2.54
C 150,2010,C,Stream,Embarras,m,0,24,3.7,2.1,2.2,3.2,2.7,2.3,2.8,1.4
C 151,2010,C,Stream,Embarras,m,0,24.4,3.5,3.2,2.7,3,3.9,2.2,2.8,1.8
c 85,2010,C,Stream,Embarras,m,0,23.7,3.3,3.1,2.18,2.7,2.74,4.5,4.6,1.72
C 87,2010,C,Stream,Embarras,m,0,39.2,6.7,4.3,4.72,5.14,5.13,6,5.4,2.76
C 98,2010,C,Stream,Embarras,m,0,27.17,4.23,3.87,3.16,3.5,3.17,2.7,3,1.73
C 82,2010,C,Stream,Embarras,m,1,54.8,10.7,6.5,7.18,7.7,7.53,8.8,9.6,3.46
C 83,2010,C,Stream,Embarras,m,1,48.8,9.5,5.3,6.26,6.57,6.3,7.1,7.7,3.16
CL111,2010,CL,Lake,Sangamon,f,0,38.1,7,4.6,2.6,5,4.7,5.5,5.2,3.6
CL114,2010,CL,Lake,Sangamon,f,0,34,5.8,3.8,3.3,4.1,4.4,5,4.7,2.2
CL127,2010,CL,Lake,Sangamon,f,0,31.2,6.2,4.37,4.32,4.45,4.1,4.2,3.8,2.4
CL131,2010,CL,Lake,Sangamon,f,0,34.9,6.6,4.18,4.4,4.23,4.1,4.8,4.2,2.2
CL132,2010,CL,Lake,Sangamon,f,0,32.9,5.8,3.8,3.4,3.8,4.2,4.9,4.7,2.3
