per_clay,per_silt,per_sand,water_content,MAT,MAP,TotalC,PH
22.5,47.5,30,59.72,10.71237179,645.745,4.386782842,5.68
15,55,30,40.79,10.71237179,645.745,4.790179836,6.68
15,55,30,61.97,10.71237179,645.745,4.790763847,6.43
15,55,30,82.61,10.33980769,606.0261538,3.924906372,6.34
15,55,30,79.69,10.33980769,606.0261538,4.133598764,6.12
15,55,30,59.46,10.33980769,606.0261538,4.342586052,6.99
15,55,30,137.5,10.22173077,668.3430769,3.773476736,6.5
15,55,30,137.21,10.22173077,668.3430769,4.87271853,6.43
15,55,30,39.02,10.22173077,668.3430769,4.06480958,6.33
15,55,30,63.51,10.1099359,669.1626923,5.176360497,6.97
15,55,30,98.08,10.1099359,669.1626923,4.109658692,6.84
15,55,30,61.19,10.1099359,669.1626923,4.788652446,6.03
15,55,30,65.63,10.1099359,669.1626923,3.954857958,5.42
15,55,30,40.74,10.1099359,669.1626923,4.495686757,6.84
20,50,30,80.36,10.09403846,732.1334615,4.040987554,6.05
25,45,30,74.6,10.06753205,723.8546154,6.464866351,7.61
15,55,30,60.94,10.09403846,732.1334615,6.004016283,6.88
30,40,30,86.44,10.04435897,758.6819231,4.105676481,5.96
15,55,30,85.19,10.04435897,758.6819231,3.19733542,5.81
30,40,30,53.03,10.04435897,758.6819231,4.029152959,5.29
22,26.66666667,51.33333333,117.39,10.20807692,650.275,5.649315284,7.01
26,27.33333333,46.66666667,123.4,10.20807692,650.275,4.546955293,7.22
30,40,30,66.13,10.20807692,650.275,7.219719926,7.3
30,40,30,107.69,10.25634615,647.7953846,4.410838204,7.29
30,40,30,124,10.25634615,647.7953846,3.560750522,7.1
30,40,30,82.14,10.25634615,647.7953846,5.36574913,7.49
30,40,30,54.29,10.51554487,649.17,4.690472447,6.92
30,40,30,64.86,10.51554487,649.17,4.201365718,6.99
10.83333333,24,18.33333333,168.42,10.77474359,686.1269231,4.504100916,5.43
7.5,27,15,150,10.77474359,686.1269231,9.792268732,4.98
12.5,45.66666667,25,137.25,10.77474359,686.1269231,5.03228802,5.1
10,20,25,191.43,10.77474359,686.1269231,5.42211057,6
7.5,27,15,153.19,10.77474359,686.1269231,4.95520141,5.24
30,40,30,62.82,10.86801282,716.7211538,7.912331532,5.53
30,40,30,100,10.7825,686.3623077,5.565544094,5.55
15,55,30,111.76,10.7825,686.3623077,5.129092712,4.96
15,55,30,60.32,10.7825,686.3623077,4.729810597,5.23
0,0,0,186.84,10.71660256,693.5488462,7.347325759,6.53
0,0,0,162.5,10.7825,686.3623077,7.080961401,5.55
0,0,0,94.23,10.57798077,771.6284615,8.477359459,4.81
7.5,27,15,166.67,9.860673077,1212.045769,1.76554293,4.7
7.5,27,15,162.5,9.860673077,1212.045769,2.358725086,4.83
30,40,30,47.95,9.860673077,1212.045769,2.721346933,5.2
7.5,27,15,148.78,9.843141026,962.4346154,2.664638718,5.06
15,55,30,86.67,9.843141026,962.4346154,2.975962652,5.03
30,40,30,58.21,9.843141026,962.4346154,3.480222091,5.18
12.5,67.5,20,120.41,9.843141026,962.4346154,3.322943779,4.74
15,55,30,98.15,9.843141026,962.4346154,3.020723271,5.14
15,55,30,85.19,9.886955128,1162.322308,3.215470937,5.45
15,55,30,119.57,9.81625,1394.641923,2.801758856,4.87
15,55,30,81.03,9.81625,1394.641923,2.740558185,5
15,55,30,55.71,9.81625,1394.641923,4.091843891,5.1
7.5,27,15,173.68,9.983044872,1159.800769,2.342067045,5.18
15,55,30,75.44,9.983044872,1159.800769,2.963689665,4.73
15,55,30,50,9.983044872,1159.800769,4.140210657,5.29
15,55,30,82.14,9.22,796.1973077,11.21773439,7.32
15,55,30,85.19,9.22,796.1973077,5.057139388,7.18
15,55,30,80.65,9.22,796.1973077,5.426371157,7.11
30,40,30,74.58,9.335737179,820.9630769,7.543821361,7.42
30,40,30,78.95,9.335737179,820.9630769,6.227746938,7.01
30,40,30,60.61,9.335737179,820.9630769,7.601996617,7.27
30,40,30,77.78,9.304519231,902.9426923,3.89977628,7.62
30,40,30,51.32,9.127147436,885.695,6.021880616,7.42
30,40,30,67.21,9.127147436,885.695,9.628024469,7.43
15,55,30,76.81,10.05804487,807.4465385,7.897304205,5.78
15,55,30,63.49,10.05804487,807.4465385,8.1673773,7.4
15,55,30,80,10.05804487,807.4465385,12.681878,7.7
30,40,30,65.15,10.05804487,807.4465385,6.985222814,7.69
15,55,30,66.13,9.88400641,760.8330769,3.590805649,7.65
15,55,30,64.62,9.88400641,760.8330769,6.654579835,7.52
28,62,10,39.24,10.67423077,873.1830769,2.115048557,6.96
30,40,30,27.27,10.67423077,873.1830769,1.38368805,6.67
30,40,30,40.85,10.58592949,828.7915385,2.472934847,6.57
30,40,30,36.05,10.10596154,865.4857692,3.405599969,6.54
30,40,30,44.16,10.10596154,865.4857692,5.365281601,5.4
30,40,30,36.14,10.10596154,865.4857692,4.107580325,5.46
30,40,30,43.42,10.19400641,855.5919231,2.740358693,6.7
30,40,30,51.39,10.19400641,855.5919231,3.712410973,5.33
30,40,30,50,10.19400641,855.5919231,3.661955756,5.41
7.5,27,15,39.24,10.10801282,905.4461538,2.787940525,6.58
30,40,30,45.71,10.09769231,874.6907692,3.26487394,5.92
30,40,30,35.8,10.09769231,874.6907692,4.623193361,5.38
28.66666667,54.66666667,16.66666667,46.38,10.05060897,893.4596154,3.837100032,5.09
30,40,30,61.29,10.05060897,893.4596154,3.72887434,5.4
30,40,30,43.66,10.05060897,893.4596154,2.340341887,5.08
15,55,30,24.72,10.54548077,792.8419231,9.557266882,6.67
15,55,30,34.57,10.54548077,792.8419231,7.709532151,7.74
15,55,30,36.99,10.82301282,859.3684615,7.602141782,6.61
15,55,30,50.7,10.82301282,859.3684615,10.74634515,7.27
15,55,30,45.71,10.82301282,859.3684615,8.360552276,7.59
15,55,30,38.89,10.8625,745.7819231,5.493765058,6.41
15,55,30,35.62,10.8625,745.7819231,10.29456194,7.67
15,55,30,40.85,10.56125,826.9830769,5.797919955,7.47
15,55,30,33.33,9.644519231,946.0219231,5.924414274,7.28
15,55,30,47.22,9.644519231,946.0219231,8.491577364,7.53
15,55,30,45.95,9.644519231,946.0219231,6.807893658,7.53
10,10,80,15.73,9.770865385,679.9534615,3.192479625,7.1
10,10,80,16.98,9.770865385,679.9534615,3.08748231,7.42
10,20,70,19.57,9.780801282,664.5880769,2.522228994,6.91
10,16.66666667,73.33333333,9.09,9.876378205,631.7857692,4.450893409,6.11
10,20,70,12.63,9.841858974,666.8738462,2.988507394,4.72
10,15,75,12.9,10.10016026,676.0392308,3.282718172,7.19
10,20,70,15.63,10.10016026,676.0392308,4.143071027,4.14
10,10,80,10.64,9.73775641,687.0469231,2.938008432,6.55
10,20,70,14.94,9.73775641,687.0469231,2.834709038,7.36
10,20,70,5.21,9.865641026,646.4703846,2.325959261,4.22
10,20,70,9.09,10.06169872,649.93,2.184852514,6.79
10,10,80,11,10.06169872,649.93,1.653743536,5.35
10,20,70,19.05,10.03480769,628.7626923,3.751273202,4.06
15,55,30,52.94,7.291282051,1264.682692,3.385957397,5.98
15,55,30,52.63,7.291282051,1264.682692,4.638471965,6.57
15,55,30,50.68,6.518365385,1155.771923,5.058451718,5.78
7.5,27,15,71.67,7.311762821,1655.596923,4.968260059,6.3
15,55,30,44.57,7.175128205,1345.395385,3.715211632,5.54
15,55,30,44.71,7.175128205,1345.395385,4.16141522,5.35
15,55,30,70.77,7.735288462,1311.786538,4.246647645,5.62
15,55,30,57.75,7.735288462,1311.786538,3.787281896,5.55
30,40,30,45.78,7.735288462,1311.786538,2.231244191,5.7
15,55,30,175.56,7.175128205,1345.395385,3.468311397,5.09
15,55,30,92.59,7.311762821,1655.596923,3.988530702,5.38
15,55,30,71.83,7.311762821,1655.596923,4.613392441,5.11
15,55,30,50.72,7.851826923,1314.880769,4.150439749,5.23
20,50,30,68.12,7.851826923,1314.880769,4.577972036,5.52
