title,score,month,year,ranking,revenue,runtime,vote_count
Avatar,7.2,12,2009,1,2787965087,162,11800
Pirates of the Caribbean: At World's End,6.9,5,2007,2,961e6,169,4500
Spectre,6.3,10,2015,3,880674609,148,4466
The Dark Knight Rises,7.6,7,2012,4,1084939099,165,9106
John Carter,6.1,3,2012,5,284139100,132,2124
Spider-Man 3,5.9,5,2007,6,890871626,139,3576
Tangled,7.4,11,2010,7,591794936,100,3330
Avengers: Age of Ultron,7.3,4,2015,8,1405403694,141,6767
Harry Potter and the Half-Blood Prince,7.4,7,2009,9,933959197,153,5293
Batman v Superman: Dawn of Justice,5.7,3,2016,10,873260194,151,7004
Superman Returns,5.4,6,2006,11,391081192,154,1400
Quantum of Solace,6.1,10,2008,12,586090727,106,2965
Pirates of the Caribbean: Dead Man's Chest,7,6,2006,13,1065659812,151,5246
The Lone Ranger,5.9,7,2013,14,89289910,149,2311
Man of Steel,6.5,6,2013,15,662845518,143,6359
The Chronicles of Narnia: Prince Caspian,6.3,5,2008,16,419651413,150,1630
The Avengers,7.4,4,2012,17,1519557910,143,11776
Pirates of the Caribbean: On Stranger Tides,6.4,5,2011,18,1045713802,136,4948
Men in Black 3,6.2,5,2012,19,624026776,106,4160
The Hobbit: The Battle of the Five Armies,7.1,12,2014,20,956019788,144,4760
The Amazing Spider-Man,6.5,6,2012,21,752215857,136,6586
Robin Hood,6.2,5,2010,22,310669540,140,1398
The Hobbit: The Desolation of Smaug,7.6,12,2013,23,9584e5,161,4524
The Golden Compass,5.8,12,2007,24,372234864,113,1303
King Kong,6.6,12,2005,25,55e7,187,2337
Titanic,7.5,11,1997,26,1845034188,194,7562
Captain America: Civil War,7.1,4,2016,27,1153304495,147,7241
Battleship,5.5,4,2012,28,303025485,131,2114
Jurassic World,6.5,6,2015,29,1513528810,124,8662
Skyfall,6.9,10,2012,30,1108561013,143,7604
Spider-Man 2,6.7,6,2004,31,783766341,127,4321
Iron Man 3,6.8,4,2013,32,1215439994,130,8806
Alice in Wonderland,6.4,3,2010,33,1025491110,108,4645
X-Men: The Last Stand,6.3,5,2006,34,459359555,104,3525
Monsters University,7,6,2013,35,743559607,104,3528
Transformers: Revenge of the Fallen,6,6,2009,36,836297228,150,3138
Transformers: Age of Extinction,5.8,6,2014,37,1091405097,165,3095
Oz: The Great and Powerful,5.7,3,2013,38,491868548,130,3530
The Amazing Spider-Man 2,6.5,4,2014,39,705717432,142,4179
TRON: Legacy,6.3,12,2010,40,400062763,125,2841
Cars 2,5.8,6,2011,41,559852396,106,2033
Green Lantern,5.1,6,2011,42,219851172,114,2487
Toy Story 3,7.6,6,2010,43,1066969703,103,4597
Terminator Salvation,5.9,5,2009,44,371353001,115,2463
Furious 7,7.3,4,2015,45,1506249360,137,4176
World War Z,6.7,6,2013,46,531865e3,116,5560
X-Men: Days of Future Past,7.5,5,2014,47,747862775,131,6032
Star Trek Into Darkness,7.4,5,2013,48,467365246,132,4418
Jack the Giant Slayer,5.5,2,2013,49,197687603,114,2598
The Great Gatsby,7.3,5,2013,50,351040419,143,3769
Prince of Persia: The Sands of Time,6.2,5,2010,51,335154643,116,2317
Pacific Rim,6.7,7,2013,52,407602906,131,4794
Transformers: Dark of the Moon,6.1,6,2011,53,1123746996,154,3299
Indiana Jones and the Kingdom of the Crystal Skull,5.7,5,2008,54,786636033,122,2495
The Good Dinosaur,6.6,11,2015,55,331926147,93,1736
Brave,6.7,6,2012,56,538983207,93,4641
Star Trek Beyond,6.6,7,2016,57,343471816,122,2568
WALL·E,7.8,6,2008,58,521311860,98,6296
Rush Hour 3,6.1,8,2007,59,258022233,91,783
2012,5.6,10,2009,60,769653595,158,4903
A Christmas Carol,6.6,11,2009,61,325233863,96,1095
Jupiter Ascending,5.2,2,2015,62,183987723,124,2768
The Legend of Tarzan,5.5,6,2016,63,356743061,109,2430
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,12,2005,64,748806957,143,2629
X-Men: Apocalypse,6.4,5,2016,65,543934787,144,4721
The Dark Knight,8.2,7,2008,66,1004558444,152,12002
Up,7.7,5,2009,67,735099082,96,6870
Monsters vs Aliens,6,3,2009,68,381509870,94,1423
Iron Man,7.4,4,2008,69,585174222,126,8776
Hugo,7,11,2011,70,185770160,126,2141
Wild Wild West,5.1,6,1999,71,222104681,106,1020
The Mummy: Tomb of the Dragon Emperor,5.2,7,2008,72,401128639,112,1387
Suicide Squad,5.9,8,2016,73,745e6,123,7458
Evan Almighty,5.3,6,2007,74,173e6,96,1151
Edge of Tomorrow,7.6,5,2014,75,370541256,113,4858
Waterworld,5.9,7,1995,76,264218220,135,992
G.I. Joe: The Rise of Cobra,5.6,8,2009,77,302469017,118,1962
Inside Out,8,6,2015,78,857611174,94,6560
The Jungle Book,6.7,4,2016,79,966550600,106,2892
Iron Man 2,6.6,4,2010,80,623933331,124,6849
Snow White and the Huntsman,5.8,5,2012,81,3966e5,127,3118
Maleficent,7,5,2014,82,758539785,97,4496
Dawn of the Planet of the Apes,7.3,6,2014,83,710644566,130,4410
The Lovers,4.8,2,2015,84,0,109,34
47 Ronin,5.9,12,2013,85,150962475,119,1326
Captain America: The Winter Soldier,7.6,3,2014,86,714766572,136,5764
Shrek Forever After,6,5,2010,87,752600867,93,1959
Tomorrowland,6.2,5,2015,88,209154322,130,2846
Big Hero 6,7.8,10,2014,89,652105443,102,6135
Wreck-It Ralph,7.1,11,2012,90,471222889,108,4570
The Polar Express,6.4,11,2004,91,305875730,100,1474
Independence Day: Resurgence,4.9,6,2016,92,389681935,120,2491
How to Train Your Dragon,7.5,3,2010,93,494878759,98,4227
Terminator 3: Rise of the Machines,5.9,7,2003,94,435e6,109,2143
Guardians of the Galaxy,7.9,7,2014,95,773328629,121,9742
Interstellar,8.1,11,2014,96,675120017,169,10867
Inception,8.1,7,2010,97,825532764,148,13752
Shin Godzilla,6.5,7,2016,98,77e6,120,143
The Hobbit: An Unexpected Journey,7,11,2012,99,1021103568,169,8297
The Fast and the Furious,6.6,6,2001,100,207283925,106,3428
The Curious Case of Benjamin Button,7.3,11,2008,101,333932083,166,3292
X-Men: First Class,7.1,5,2011,102,353624124,132,5181
The Hunger Games: Mockingjay - Part 2,6.6,11,2015,103,653428261,137,3984
The Sorcerer's Apprentice,5.8,7,2010,104,215283742,109,1470
Poseidon,5.5,5,2006,105,181674817,99,583
Alice Through the Looking Glass,6.5,5,2016,106,299370084,113,1725
Shrek the Third,6,5,2007,107,798958165,93,2278
Warcraft,6.3,5,2016,108,433677183,123,2268
Terminator Genisys,5.8,6,2015,109,440603537,126,3631
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,8,2010,110,415686217,113,1514
Pearl Harbor,6.6,5,2001,111,449220945,183,1791
Transformers,6.6,6,2007,112,709709780,144,4040
Alexander,5.6,11,2004,113,167298192,175,927
Harry Potter and the Order of the Phoenix,7.4,6,2007,114,938212738,138,5494
Harry Potter and the Goblet of Fire,7.5,11,2005,115,895921036,157,5608
Hancock,6.2,7,2008,116,624029371,92,2961
I Am Legend,6.9,12,2007,117,585349010,101,4853
Charlie and the Chocolate Factory,6.7,7,2005,118,474968763,115,3624
Ratatouille,7.5,6,2007,119,623722818,111,4369
Batman Begins,7.5,6,2005,120,374218673,140,7359
Madagascar: Escape 2 Africa,6.2,10,2008,121,603900354,89,1810
Night at the Museum: Battle of the Smithsonian,5.9,5,2009,122,413106170,105,1971
X-Men Origins: Wolverine,6.2,4,2009,123,373062864,107,4021
The Matrix Revolutions,6.4,11,2003,124,424988211,129,3096
Frozen,7.3,11,2013,125,1274219009,102,5295
The Matrix Reloaded,6.7,5,2003,126,738599701,138,3443
Thor: The Dark World,6.8,10,2013,127,644571402,112,4755
Mad Max: Fury Road,7.2,5,2015,128,378858340,120,9427
Angels & Demons,6.5,5,2009,129,356613439,138,2129
Thor,6.6,4,2011,130,449326618,115,6525
Bolt,6.3,11,2008,131,309979994,98,1750
G-Force,5.1,7,2009,132,292817841,88,510
Wrath of the Titans,5.5,3,2012,133,301e6,99,1431
Dark Shadows,5.7,5,2012,134,245527149,113,2320
Mission: Impossible - Rogue Nation,7.1,7,2015,135,682330139,131,3224
The Wolfman,5.5,2,2010,136,0,102,549
Bee Movie,5.7,10,2007,137,287594577,91,1171
Kung Fu Panda 2,6.7,5,2011,138,665692281,91,1880
The Last Airbender,4.7,6,2010,139,318502923,103,1151
Mission: Impossible III,6.5,5,2006,140,397850012,126,2028
White House Down,6.4,6,2013,141,205366737,131,1891
Mars Needs Moms,5.5,3,2011,142,38992758,88,199
Flushed Away,6,10,2006,143,64459316,85,874
Pan,5.9,9,2015,144,128388320,111,954
Mr. Peabody & Sherman,6.7,2,2014,145,272912430,92,843
Troy,6.9,5,2004,146,497409852,163,2759
Madagascar 3: Europe's Most Wanted,6.4,6,2012,147,746921274,93,1808
Die Another Day,5.8,11,2002,148,431971116,133,1092
Ghostbusters,5.3,7,2016,149,229147509,116,2142
Armageddon,6.4,7,1998,150,553799566,151,2482
Men in Black II,6,7,2002,151,441818803,88,3114
Beowulf,5.5,11,2007,152,195735876,115,841
Kung Fu Panda 3,6.7,1,2016,153,521170825,95,1603
Mission: Impossible - Ghost Protocol,6.8,12,2011,154,694713380,133,3972
Rise of the Guardians,7.1,11,2012,155,306941670,97,1922
Fun with Dick and Jane,5.9,12,2005,156,202026112,90,627
The Last Samurai,7.3,12,2003,157,456758981,154,1895
Exodus: Gods and Kings,5.6,12,2014,158,268031828,150,1921
Star Trek,7.4,5,2009,159,385680446,127,4518
Spider-Man,6.8,5,2002,160,821708551,121,5265
How to Train Your Dragon 2,7.6,6,2014,161,609123048,102,3106
Gods of Egypt,5.3,2,2016,162,150680864,127,1277
Stealth,4.9,7,2005,163,76932943,121,331
Watchmen,7,3,2009,164,185258983,163,2811
Lethal Weapon 4,6.3,7,1998,165,285444603,127,767
Hulk,5.3,6,2003,166,245360480,138,1533
G.I. Joe: Retaliation,5.4,3,2013,167,371876278,110,3025
Sahara,5.7,4,2005,168,119269486,124,434
Final Fantasy: The Spirits Within,5.9,7,2001,169,85131830,106,433
Captain America: The First Avenger,6.6,7,2011,170,370569774,124,7047
The World Is Not Enough,6,11,1999,171,361832400,128,862
Master and Commander: The Far Side of the World,6.9,11,2003,172,212011111,138,790
The Twilight Saga: Breaking Dawn - Part 2,6.1,11,2012,173,829e6,115,2553
Happy Feet Two,5.8,11,2011,174,150406466,100,373
The Incredible Hulk,6.1,6,2008,175,163712074,114,3021
The BFG,6,6,2016,176,183345589,120,1000
The Revenant,7.3,12,2015,177,532950503,156,6396
Turbo,6.1,7,2013,178,282570682,96,1074
Rango,6.6,3,2011,179,245724603,107,2051
Penguins of Madagascar,6.5,11,2014,180,373552094,92,1346
The Bourne Ultimatum,7.3,8,2007,181,442824138,115,2888
Kung Fu Panda,6.9,6,2008,182,631744560,90,3145
Ant-Man,7,7,2015,183,519311965,117,5880
The Hunger Games: Catching Fire,7.4,11,2013,184,847423452,146,6495
Home,6.8,3,2015,185,368871007,94,1519
War of the Worlds,6.2,6,2005,186,591739379,116,2322
Bad Boys II,6.3,7,2003,187,273339556,147,1564
Puss in Boots,6.4,10,2011,188,554987477,90,451
Salt,6.2,7,2010,189,293329073,100,2093
Noah,5.6,3,2014,190,362637473,139,2350
The Adventures of Tintin,6.7,10,2011,191,371940071,107,2061
Harry Potter and the Prisoner of Azkaban,7.7,5,2004,192,789804554,141,5877
Australia,6.3,11,2008,193,49554002,165,694
After Earth,5,5,2013,194,243843127,100,2532
Dinosaur,6.2,5,2e3,195,354248063,82,542
Night at the Museum: Secret of the Tomb,6.1,12,2014,196,349424282,97,1851
Megamind,6.7,10,2010,197,321887208,95,1918
Harry Potter and the Philosopher's Stone,7.5,11,2001,198,976475550,152,7006
R.I.P.D.,5.4,7,2013,199,61648500,96,1260
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7,2003,200,655011224,143,6985
The Hunger Games: Mockingjay - Part 1,6.6,11,2014,201,752100229,123,5584
The Da Vinci Code,6.5,5,2006,202,767820459,149,2704
Rio 2,6.3,3,2014,203,500188435,102,978
X2,6.8,4,2003,204,407711549,133,3506
Fast Five,7.1,4,2011,205,626137675,130,2438
Sherlock Holmes: A Game of Shadows,7,11,2011,206,334615e3,129,3886
Clash of the Titans,5.6,4,2010,207,232713139,106,2233
Total Recall,7.1,6,1990,208,261317921,113,1710
The 13th Warrior,6.4,8,1999,209,61698899,102,510
The Bourne Legacy,6,8,2012,210,276572938,120,2651
Batman & Robin,4.2,6,1997,211,238207122,125,1418
How the Grinch Stole Christmas,6.2,11,2e3,212,345141403,104,1386
The Day After Tomorrow,6.2,5,2004,213,544272402,124,2392
Mission: Impossible II,5.9,5,2e3,214,546388105,123,1928
The Perfect Storm,6.2,3,2e3,215,325756637,130,597
Fantastic 4: Rise of the Silver Surfer,5.4,6,2007,216,289047763,92,2589
Life of Pi,7.2,11,2012,217,609016565,127,5797
Ghost Rider,5.2,2,2007,218,228738393,114,1712
Jason Bourne,5.9,7,2016,219,415484914,123,2341
Charlie's Angels: Full Throttle,5.2,6,2003,220,259175788,106,914
Prometheus,6.3,5,2012,221,403170142,124,5080
Stuart Little 2,5.4,7,2002,222,169956806,78,613
Elysium,6.4,8,2013,223,286140700,109,3439
The Chronicles of Riddick,6.3,6,2004,224,115772733,119,1570
RoboCop,5.7,1,2014,225,242688965,102,2342
Speed Racer,5.7,5,2008,226,93945766,135,354
How Do You Know,4.9,12,2010,227,48668907,121,223
Knight and Day,5.9,6,2010,228,261930431,109,1547
Oblivion,6.4,4,2013,229,286168572,124,4800
Star Wars: Episode III - Revenge of the Sith,7.1,5,2005,230,85e7,140,4116
Star Wars: Episode II - Attack of the Clones,6.4,5,2002,231,649398328,142,3992
"Monsters, Inc.",7.5,11,2001,232,562816256,92,5996
The Wolverine,6.3,7,2013,233,415440673,126,4053
Star Wars: Episode I - The Phantom Menace,6.3,5,1999,234,924317558,136,4432
The Croods,6.8,3,2013,235,585178928,98,2399
Asterix at the Olympic Games,5,1,2008,236,1329e5,116,471
Windtalkers,5.8,6,2002,237,77628265,134,341
The Huntsman: Winter's War,6,4,2016,238,164602163,114,1523
Teenage Mutant Ninja Turtles,5.8,8,2014,239,4772e5,101,2636
Gravity,7.3,9,2013,240,716392705,91,5751
Dante's Peak,5.7,2,1997,241,178127760,108,428
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,6,2016,242,245623848,112,963
Fantastic Four,4.4,8,2015,243,167977596,100,2278
Night at the Museum,6.3,10,2006,244,574480841,108,2862
San Andreas,6,5,2015,245,470490832,114,2968
Tomorrow Never Dies,6,12,1997,246,333011068,119,925
The Patriot,6.8,6,2e3,247,215294342,165,1099
Ocean's Twelve,6.4,12,2004,248,362744280,125,2124
Mr. & Mrs. Smith,6.5,6,2005,249,478207520,120,2965
Insurgent,6.2,3,2015,250,295238201,119,3829
The Aviator,7,12,2004,251,102e6,170,1489
Gulliver's Travels,4.9,12,2010,252,237382724,85,621
The Green Hornet,5.5,1,2011,253,227817248,119,1251
300: Rise of an Empire,6.1,3,2014,254,337580051,102,2397
The Smurfs,5.5,7,2011,255,563749323,103,1179
Home on the Range,5.7,4,2004,256,103951461,76,389
Allegiant,5.9,3,2016,257,179246868,121,1998
Real Steel,6.6,9,2011,258,299268508,127,2692
The Smurfs 2,5.5,7,2013,259,347434178,105,695
Speed 2: Cruise Control,4.1,6,1997,260,164508066,121,434
Ender's Game,6.6,10,2013,261,125537191,114,2303
Live Free or Die Hard,6.4,6,2007,262,383531464,128,2089
The Lord of the Rings: The Fellowship of the Ring,8,12,2001,263,871368364,178,8705
Around the World in 80 Days,5.7,6,2004,264,72178895,120,672
Ali,6.7,12,2001,265,87713825,157,447
The Cat in the Hat,4.9,11,2003,266,0,82,366
"I, Robot",6.7,7,2004,267,347234916,115,3793
Kingdom of Heaven,6.6,5,2005,268,211643158,144,1157
Stuart Little,5.8,12,1999,269,300135367,84,959
The Princess and the Frog,6.7,12,2009,270,267045765,97,1247
The Martian,7.6,9,2015,271,630161890,141,7268
The Island,6.5,7,2005,272,162949164,136,1770
