Individual,Block,Rosettes,FloweringTime,NumberFruiting,Fruits
Agu,1,19,148,5,1.2
Agu,1,21,142,9,4.33
Agu,1,15,142,8,1.83
Agu,1,8,148,1,1
Agu,2,15,142,5,1.2
Agu,2,15,148,1,1
Agu,2,10,148,3,1
Agu,3,7,148,6,1.33
Agu,3,12,142,4,1.5
Agu,3,13,142,1,1
Agu,3,4,148,4,2.25
Agu,4,10,142,4,1
Agu,4,11,148,1,1
Agu,4,10,148,3,1
Agu,4,14,148,2,1.25
Cdc ,1,15,148,6,1
Cdc ,1,16,148,6,1.5
Cdc ,1,20,148,7,1
Cdc ,1,19,148,1,1
Cdc ,2,14,148,3,4.67
Cdc ,2,17,142,6,1
Cdc ,2,4,148,6,1
Cdc ,3,15,148,7,1.33
Cdc ,3,15,142,2,1
Cdc ,3,25,142,3,1
Cdc ,4,11,148,1,1
Cdc ,4,14,148,3,1.33
Cdc ,4,15,156,4,1
Cdc ,4,27,142,3,1.2
Gra ,1,38,148,5,1
Gra ,1,29,143,10,4.83
Gra ,1,30,134,9,3
Gra ,1,32,142,8,1
Gra ,2,25,134,9,1.5
Gra ,2,28,148,5,10.6
Gra ,2,28,134,7,4.67
Gra ,2,23,138,19,9.33
Gra ,3,30,138,4,1
Gra ,3,24,134,8,9.5
Gra ,3,38,134,9,2
Gra ,3,36,142,9,1.5
Gra ,4,30,142,12,1.5
Gra ,4,27,148,9,1.5
Gra ,4,16,142,8,9.5
Gra ,4,21,148,9,1
Mar,1,33,134,16,1.67
Mar,1,31,134,12,1.67
Mar,1,32,124,11,2.83
Mar,2,23,124,5,1.6
Mar,2,24,124,8,1.5
Mar,2,23,134,4,1
Mar,2,16,134,7,3.33
Mar,3,26,124,5,1.8
Mar,3,16,142,1,1
Mar,3,22,124,8,2.67
Mar,3,32,124,13,3.33
Mar,4,25,134,1,1
Mar,4,18,134,9,2
Mar,4,23,134,9,1
Mar,4,28,124,11,1.83
Pra ,1,24,142,8,2.5
Pra ,1,29,148,6,1
Pra ,1,18,134,8,4
Pra ,1,6,148,4,1.25
Pra ,2,26,142,5,2.4
Pra ,2,10,143,13,2.67
Pra ,2,9,142,4,2.5
Pra ,2,23,142,2,1
Pra ,3,15,138,1,2
Pra ,3,8,142,3,2
Pra ,3,13,156,3,1
Pra ,3,7,148,8,3.33
Pra ,4,14,148,6,1.33
Pra ,4,16,152,9,2.4
Pra ,4,20,151,5,2.6
Pra ,4,10,136,7,2.7
